case_id,case_type,composition,calculation_type,atom_count,neighbour_shell,initial_pair_distance_angstrom,final_pair_distance_angstrom,total_energy_ev,energy_per_atom_ev,scf_converged,ionic_converged,job_done,valid_result,ecutwfc_ry,ecutrho_ry,kpoints,smearing,degauss_ry,pseudopotential_identifiers,wall_time_seconds,output_path
conv_cutoff_al_ecut30,convergence_cutoff,Al,scf,1,,,,-68.54975142014577,-68.54975142014577,True,False,True,True,30,240,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",3.39,runs/convergence/conv_cutoff_al_ecut30/pw.out
conv_cutoff_al_ecut40,convergence_cutoff,Al,scf,1,,,,-68.55161825729917,-68.55161825729917,True,False,True,True,40,320,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",3.85,runs/convergence/conv_cutoff_al_ecut40/pw.out
conv_cutoff_al_ecut50,convergence_cutoff,Al,scf,1,,,,-68.55183091428269,-68.55183091428269,True,False,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",5.08,runs/convergence/conv_cutoff_al_ecut50/pw.out
conv_cutoff_al_ecut60,convergence_cutoff,Al,scf,1,,,,-68.55193499783508,-68.55193499783508,True,False,True,True,60,480,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",6.8,runs/convergence/conv_cutoff_al_ecut60/pw.out
conv_kpoints_al_4x4x4,convergence_kpoints,Al,scf,1,,,,-68.2602124743894,-68.2602124743894,True,False,True,True,50,400,"[4, 4, 4]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",2.68,runs/convergence/conv_kpoints_al_4x4x4/pw.out
conv_kpoints_al_6x6x6,convergence_kpoints,Al,scf,1,,,,-68.62564057496255,-68.62564057496255,True,False,True,True,50,400,"[6, 6, 6]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",3.31,runs/convergence/conv_kpoints_al_6x6x6/pw.out
conv_kpoints_al_8x8x8,convergence_kpoints,Al,scf,1,,,,-68.55183091428269,-68.55183091428269,True,False,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",4.72,runs/convergence/conv_kpoints_al_8x8x8/pw.out
ref_Al_fcc,elemental_reference,Al,vc-relax,1,,,,,,False,False,False,False,20,160,"[2, 2, 2]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/convergence/ref_Al_fcc/pw.out
ref_Mg_hcp,elemental_reference,Mg2,vc-relax,2,,,,,,False,False,False,False,20,160,"[2, 2, 2]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/convergence/ref_Mg_hcp/pw.out
ref_Si_diamond,elemental_reference,Si2,vc-relax,2,,,,,,False,False,False,False,20,160,"[2, 2, 2]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/convergence/ref_Si_diamond/pw.out
